version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;id8;ns1:name9;id10;ns1:name11;ns1:location;ns1:latitude;ns1:longitude;id12;ns1:name13;ns1:o2;ns1:he;id14;id15;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref16;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ref17;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;6.09;460;;18337000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;6.85;480;;18300000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;7.86;500;;18258000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.58;520;;18186000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.32;540;;18080000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.32;560;;17958000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.73;580;;17882000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.96;600;;17803000;287.15;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.97;620;;17746000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;8.55;640;;17699000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;7.98;660;;17631000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;7.67;680;;17592000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;7.39;700;;17518000;286.15;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;7.17;720;;17467000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;6.69;740;;17455000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;6.04;760;;17390000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.87;780;;17362000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
