version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ref18;ns1:tankpressure;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.67;560;;16640000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.55;580;;16510000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.52;600;;16380000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.5;620;;16330000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.97;640;;16200000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.11;660;;16100000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.28;680;;16020000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.71;700;;15920000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.78;720;;15840000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;11.37;740;;15770000;284.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.37;760;;15640000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.31;780;;15540000;285.15;18.89;8.327;2980;;;;
