version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ns1:tankpressure;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;15.09;600;15790000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;14.85;620;15660000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;15.44;640;15540000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;16.73;660;15410000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.71;680;15230000;282.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.98;700;15000000;281.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;19.01;720;14870000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.91;735;;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.88;740;14690000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;19.45;760;14560000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.82;780;14440000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;19.68;800;14260000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.88;820;14150000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;18.76;840;14080000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;17.61;860;13970000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;17.02;880;13870000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;16.55;900;13770000;282.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;16.5;920;13670000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;16.61;940;13560000;;19.72;9.195;3040;;8;;
